Date, Run Number, Post-Beam (YN)
20230328,4312,N
20230418,5065,N
20230420,5176,N
20230420,5186,N
20230422,5442,N
20230429,5642,N
20230429,5646,N
20230429,5656,N
20230429,5665,N
20230429,5669,N
20230429,5672,N
20230429,5679,N
20230429,5687,N
20230429,5691,N
20230429,5693,N
20230429,5698,N
20230429,5700,N
20230429,5702,N
20230429,5713,N
20230429,5716,N
20230429,5727,N
20230429,5730,N
20230429,5732,N
20230429,5734,N
20230728,24057,Y
20230728,24058,Y
20230728,24059,Y
20230725,23712,Y
20230725,23717,Y
20230725,23712,Y
20230724,23614,Y
20230724,23569,Y
20230724,23576,Y
20230724,23577,Y
20230724,23577,Y
20230724,23595,Y
20230723,23559,Y
20230723,23564,Y
20230722,23544,Y

